Time,Temperature (°C),Dew Point (°C),Wind Speed (knots),Wind Direction (°),Surface Pressure (hPa),Total Precipitation (mm),Hourly Precipitation (mm)
25-01-22 0:00,0.18,-1.91,18.87,268,1023.19,12.28,0.00
25-01-22 1:00,0.05,-2.15,18.52,269,1023.17,0.05,0.00
25-01-22 2:00,-0.03,-2.38,17.99,269,1023.16,0.08,0.03
25-01-22 3:00,-0.22,-2.7,17.16,270,1023.1,0.09,0.01
25-01-22 4:00,-0.45,-3.15,16.63,271,1022.88,0.11,0.02
25-01-22 5:00,-0.57,-3.42,16.14,271,1022.88,0.12,0.01
25-01-22 6:00,-0.67,-3.66,15.68,272,1022.56,0.13,0.01
25-01-22 7:00,-0.5,-3.99,14.37,273,1022.69,0.15,0.02
25-01-22 8:00,-0.28,-4.35,14.59,275,1022.39,0.18,0.03
25-01-22 9:00,-0.03,-5.17,14.44,273,1022.2,0.24,0.06
25-01-22 10:00,0.27,-5.62,13.87,272,1021.35,0.34,0.10
25-01-22 11:00,0.46,-5.26,14.01,272,1020.62,0.42,0.08
25-01-22 12:00,0.31,-4.89,13.7,271,1020.08,0.5,0.08
25-01-22 13:00,0.19,-4.45,13.02,270,1019.95,0.57,0.07
25-01-22 14:00,0.02,-4.17,12.66,269,1019.72,0.6,0.03
25-01-22 15:00,-0.33,-3.92,11.69,268,1019.61,0.65,0.05
25-01-22 16:00,-0.44,-4.25,11.38,266,1019.55,0.71,0.06
25-01-22 17:00,-0.42,-4.18,11.23,265,1019.59,0.78,0.07
25-01-22 18:00,-0.2,-4.44,10.82,264,1019.55,0.83,0.05
25-01-22 19:00,-0.16,-4.62,11.03,263,1019.34,0.86,0.03
25-01-22 20:00,-0.15,-4.74,10.62,260,1019.18,0.91,0.05
25-01-22 21:00,-0.37,-4.38,10.74,261,1019.1,0.96,0.05
25-01-22 22:00,-0.53,-3.9,11.71,264,1018.84,1.1,0.14
25-01-22 23:00,-0.6,-3.92,11.47,267,1018.82,1.23,0.13
